item_id,category,language,condition,text,adequacy_score
E01,everyday,english,base,The child opened the door.,
E01,everyday,modern_standard_chinese,base,孩子打開了門.,
E01,everyday,classical_chinese,base,童啟門.,
E01,everyday,classical_latin,base,Puer ianuam aperuit.,
E01,everyday,attic_greek,base,Ὁ παῖς τὴν θύραν ἤνοιξε.,
E02,everyday,english,base,My friend brought fresh bread.,
E02,everyday,modern_standard_chinese,base,我的朋友帶來了新鮮的麵包.,
E02,everyday,classical_chinese,base,友攜新麵包至.,
E02,everyday,classical_latin,base,Amicus meus panem recentem attulit.,
E02,everyday,attic_greek,base,Ὁ φίλος μου ἄρτον πρόσφατον ἤνεγκεν.,
E03,everyday,english,base,We waited beside the river until sunset.,
E03,everyday,modern_standard_chinese,base,我們在河邊等到日落.,
E03,everyday,classical_chinese,base,吾等河畔至日暮.,
E03,everyday,classical_latin,base,Ad fluminis ripam usque ad solis occasum exspectavimus.,
E03,everyday,attic_greek,base,Παρὰ τῷ ποταμῷ μέχρι δυσμῶν ἡλίου ἐμείναμεν.,
E04,everyday,english,base,The dog found its ball under the table.,
E04,everyday,modern_standard_chinese,base,狗在桌下找到了自己的球.,
E04,everyday,classical_chinese,base,犬於幾下得其球.,
E04,everyday,classical_latin,base,Canis pilam suam sub mensa invenit.,
E04,everyday,attic_greek,base,Ὁ κύων τὴν ἑαυτοῦ σφαῖραν ὑπὸ τῇ τραπέζῃ εὗρεν.,
E05,everyday,english,base,She wrote a short letter to her sister.,
E05,everyday,modern_standard_chinese,base,她給姐姐寫了一封短信.,
E05,everyday,classical_chinese,base,她書短牘與姊.,
E05,everyday,classical_latin,base,Ea sorori suae epistulam brevem scripsit.,
E05,everyday,attic_greek,base,Αὕτη γράμμα βραχὺ τῇ ἀδελφῇ ἔγραψεν.,
E06,everyday,english,base,Rain began shortly after lunch.,
E06,everyday,modern_standard_chinese,base,午飯後不久開始下雨.,
E06,everyday,classical_chinese,base,食後未幾雨作.,
E06,everyday,classical_latin,base,Paulo post prandium pluvia coepit.,
E06,everyday,attic_greek,base,Μετὰ τὸ ἄριστον ὀλίγῳ ὕστερον ὑετὸς ἤρξατο.,
E07,everyday,english,base,The old merchant counted the coins twice.,
E07,everyday,modern_standard_chinese,base,老商人數了兩次錢幣.,
E07,everyday,classical_chinese,base,老賈再數其錢.,
