tokenizer,item_id,category,language,condition,adequacy_score,text,character_count,utf8_byte_count,token_count,characters_per_token,bytes_per_token
openai-o200k,E01,everyday,english,base,,The child opened the door.,26,26,6,4.333333333333333,4.333333333333333
openai-o200k,E01,everyday,modern_standard_chinese,base,,孩子打開了門.,7,19,6,1.1666666666666667,3.1666666666666665
openai-o200k,E01,everyday,classical_chinese,base,,童啟門.,4,10,5,0.8,2.0
openai-o200k,E01,everyday,classical_latin,base,,Puer ianuam aperuit.,20,20,8,2.5,2.5
openai-o200k,E01,everyday,attic_greek,base,,Ὁ παῖς τὴν θύραν ἤνοιξε.,24,47,18,1.3333333333333333,2.611111111111111
openai-o200k,E02,everyday,english,base,,My friend brought fresh bread.,30,30,6,5.0,5.0
openai-o200k,E02,everyday,modern_standard_chinese,base,,我的朋友帶來了新鮮的麵包.,13,37,13,1.0,2.8461538461538463
openai-o200k,E02,everyday,classical_chinese,base,,友攜新麵包至.,7,19,9,0.7777777777777778,2.111111111111111
openai-o200k,E02,everyday,classical_latin,base,,Amicus meus panem recentem attulit.,35,35,10,3.5,3.5
openai-o200k,E02,everyday,attic_greek,base,,Ὁ φίλος μου ἄρτον πρόσφατον ἤνεγκεν.,36,69,20,1.8,3.45
openai-o200k,E03,everyday,english,base,,We waited beside the river until sunset.,40,40,8,5.0,5.0
openai-o200k,E03,everyday,modern_standard_chinese,base,,我們在河邊等到日落.,10,28,10,1.0,2.8
openai-o200k,E03,everyday,classical_chinese,base,,吾等河畔至日暮.,8,22,9,0.8888888888888888,2.4444444444444446
openai-o200k,E03,everyday,classical_latin,base,,Ad fluminis ripam usque ad solis occasum exspectavimus.,55,55,18,3.0555555555555554,3.0555555555555554
openai-o200k,E03,everyday,attic_greek,base,,Παρὰ τῷ ποταμῷ μέχρι δυσμῶν ἡλίου ἐμείναμεν.,44,87,28,1.5714285714285714,3.107142857142857
openai-o200k,E04,everyday,english,base,,The dog found its ball under the table.,39,39,9,4.333333333333333,4.333333333333333
openai-o200k,E04,everyday,modern_standard_chinese,base,,狗在桌下找到了自己的球.,12,34,9,1.3333333333333333,3.7777777777777777
openai-o200k,E04,everyday,classical_chinese,base,,犬於幾下得其球.,8,22,9,0.8888888888888888,2.4444444444444446
openai-o200k,E04,everyday,classical_latin,base,,Canis pilam suam sub mensa invenit.,35,35,12,2.9166666666666665,2.9166666666666665
openai-o200k,E04,everyday,attic_greek,base,,Ὁ κύων τὴν ἑαυτοῦ σφαῖραν ὑπὸ τῇ τραπέζῃ εὗρεν.,47,95,38,1.236842105263158,2.5
openai-o200k,E05,everyday,english,base,,She wrote a short letter to her sister.,39,39,9,4.333333333333333,4.333333333333333
openai-o200k,E05,everyday,modern_standard_chinese,base,,她給姐姐寫了一封短信.,11,31,8,1.375,3.875
openai-o200k,E05,everyday,classical_chinese,base,,她書短牘與姊.,7,19,9,0.7777777777777778,2.111111111111111
openai-o200k,E05,everyday,classical_latin,base,,Ea sorori suae epistulam brevem scripsit.,41,41,14,2.9285714285714284,2.9285714285714284
openai-o200k,E05,everyday,attic_greek,base,,Αὕτη γράμμα βραχὺ τῇ ἀδελφῇ ἔγραψεν.,36,72,28,1.2857142857142858,2.5714285714285716
openai-o200k,E06,everyday,english,base,,Rain began shortly after lunch.,31,31,6,5.166666666666667,5.166666666666667
openai-o200k,E06,everyday,modern_standard_chinese,base,,午飯後不久開始下雨.,10,28,9,1.1111111111111112,3.111111111111111
openai-o200k,E06,everyday,classical_chinese,base,,食後未幾雨作.,7,19,8,0.875,2.375
openai-o200k,E06,everyday,classical_latin,base,,Paulo post prandium pluvia coepit.,34,34,13,2.6153846153846154,2.6153846153846154
openai-o200k,E06,everyday,attic_greek,base,,Μετὰ τὸ ἄριστον ὀλίγῳ ὕστερον ὑετὸς ἤρξατο.,43,88,37,1.162162162162162,2.3783783783783785
openai-o200k,E07,everyday,english,base,,The old merchant counted the coins twice.,41,41,8,5.125,5.125
openai-o200k,E07,everyday,modern_standard_chinese,base,,老商人數了兩次錢幣.,10,28,12,0.8333333333333334,2.3333333333333335
openai-o200k,E07,everyday,classical_chinese,base,,老賈再數其錢.,7,19,9,0.7777777777777778,2.111111111111111
openai-o200k,E07,everyday,classical_latin,base,,Mercator senex nummos bis numeravit.,36,36,11,3.272727272727273,3.272727272727273
openai-o200k,E07,everyday,attic_greek,base,,Ὁ γέρων ἔμπορος τὰ νομίσματα δίς ἠρίθμησεν.,43,83,28,1.5357142857142858,2.9642857142857144
openai-o200k,E08,everyday,english,base,,They planted three trees behind the house.,42,42,8,5.25,5.25
openai-o200k,E08,everyday,modern_standard_chinese,base,,他們在屋後種了三棵樹.,11,31,13,0.8461538461538461,2.3846153846153846
openai-o200k,E08,everyday,classical_chinese,base,,眾植三樹於屋後.,8,22,10,0.8,2.2
openai-o200k,E08,everyday,classical_latin,base,,Tres arbores post domum plantaverunt.,37,37,11,3.3636363636363638,3.3636363636363638
openai-o200k,E08,everyday,attic_greek,base,,Τρία δένδρα ὄπισθεν τῆς οἰκίας ἐφύτευσαν.,41,80,26,1.5769230769230769,3.076923076923077
openai-o200k,E09,everyday,english,base,,I forgot the key at home.,25,25,7,3.5714285714285716,3.5714285714285716
openai-o200k,E09,everyday,modern_standard_chinese,base,,我把鑰匙忘在家裡了.,10,28,12,0.8333333333333334,2.3333333333333335
openai-o200k,E09,everyday,classical_chinese,base,,吾遺鑰於家.,6,16,8,0.75,2.0
openai-o200k,E09,everyday,classical_latin,base,,Clavem domi oblitus sum.,24,24,9,2.6666666666666665,2.6666666666666665
openai-o200k,E09,everyday,attic_greek,base,,Ἐπελαθόμην τῆς κλειδὸς οἴκοι.,29,58,23,1.2608695652173914,2.5217391304347827
openai-o200k,E10,everyday,english,base,,The teacher praised the careful student.,40,40,7,5.714285714285714,5.714285714285714
openai-o200k,E10,everyday,modern_standard_chinese,base,,老師稱讚了認真的學生.,11,31,9,1.2222222222222223,3.4444444444444446
openai-o200k,E10,everyday,classical_chinese,base,,師譽勤學者.,6,16,7,0.8571428571428571,2.2857142857142856
openai-o200k,E10,everyday,classical_latin,base,,Magister discipulum diligentem laudavit.,40,40,9,4.444444444444445,4.444444444444445
openai-o200k,E10,everyday,attic_greek,base,,Ὁ διδάσκαλος τὸν ἐπιμελῆ μαθητὴν ἐπῄνεσεν.,42,85,32,1.3125,2.65625
openai-o200k,E11,everyday,english,base,,Our neighbour sold a blue cloak yesterday.,42,42,8,5.25,5.25
openai-o200k,E11,everyday,modern_standard_chinese,base,,我們的鄰居昨天賣了一件藍色斗篷.,16,46,17,0.9411764705882353,2.7058823529411766
openai-o200k,E11,everyday,classical_chinese,base,,鄰人昨售青衣.,7,19,8,0.875,2.375
openai-o200k,E11,everyday,classical_latin,base,,Vicinus noster heri pallium caeruleum vendidit.,47,47,16,2.9375,2.9375
openai-o200k,E11,everyday,attic_greek,base,,Ὁ γείτων ἡμῶν χλαμύδα κυανῆν χθὲς ἀπέδοτο.,42,83,32,1.3125,2.59375
openai-o200k,E12,everyday,english,base,,The boat crossed the lake before dark.,38,38,8,4.75,4.75
openai-o200k,E12,everyday,modern_standard_chinese,base,,船在天黑前渡過了湖.,10,28,10,1.0,2.8
openai-o200k,E12,everyday,classical_chinese,base,,舟昏前濟湖.,6,16,8,0.75,2.0
openai-o200k,E12,everyday,classical_latin,base,,Navis lacum ante noctem transiit.,33,33,10,3.3,3.3
openai-o200k,E12,everyday,attic_greek,base,,Πλοῖον τὴν λίμνην πρὸ νυκτὸς διέπλευσεν.,40,78,28,1.4285714285714286,2.7857142857142856
openai-o200k,E13,everyday,english,base,,He placed the cup near the window.,34,34,8,4.25,4.25
openai-o200k,E13,everyday,modern_standard_chinese,base,,他把杯子放在窗邊.,9,25,10,0.9,2.5
openai-o200k,E13,everyday,classical_chinese,base,,彼置杯於牖旁.,7,19,8,0.875,2.375
openai-o200k,E13,everyday,classical_latin,base,,Ille poculum prope fenestram posuit.,36,36,12,3.0,3.0
openai-o200k,E13,everyday,attic_greek,base,,Ἐκεῖνος ποτήριον παρὰ τῇ θυρίδι ἔθηκεν.,39,77,25,1.56,3.08
openai-o200k,E14,everyday,english,base,,Many people gathered in the market.,35,35,7,5.0,5.0
openai-o200k,E14,everyday,modern_standard_chinese,base,,許多人聚集在市場.,9,25,7,1.2857142857142858,3.5714285714285716
openai-o200k,E14,everyday,classical_chinese,base,,眾集於市.,5,13,6,0.8333333333333334,2.1666666666666665
openai-o200k,E14,everyday,classical_latin,base,,Multi homines in foro congregati sunt.,38,38,9,4.222222222222222,4.222222222222222
openai-o200k,E14,everyday,attic_greek,base,,Πολλοὶ ἄνθρωποι ἐν ἀγορᾷ συνήχθησαν.,36,72,27,1.3333333333333333,2.6666666666666665
openai-o200k,E15,everyday,english,base,,The small lamp burned all night.,32,32,7,4.571428571428571,4.571428571428571
openai-o200k,E15,everyday,modern_standard_chinese,base,,小燈整夜燃著.,7,19,8,0.875,2.375
openai-o200k,E15,everyday,classical_chinese,base,,小燈竟夜燃.,6,16,7,0.8571428571428571,2.2857142857142856
openai-o200k,E15,everyday,classical_latin,base,,Lucerna parva tota nocte arsit.,31,31,10,3.1,3.1
openai-o200k,E15,everyday,attic_greek,base,,Ὁ μικρὸς λύχνος διὰ πάσης νυκτὸς ἔκαιεν.,40,78,25,1.6,3.12
openai-o200k,I01,instruction,english,base,,Close the door before leaving the room.,39,39,8,4.875,4.875
openai-o200k,I01,instruction,modern_standard_chinese,base,,離開房間前關門.,8,22,8,1.0,2.75
openai-o200k,I01,instruction,classical_chinese,base,,出室先闔門.,6,16,7,0.8571428571428571,2.2857142857142856
openai-o200k,I01,instruction,classical_latin,base,,Ante discessum e cubiculo ianuam claude.,40,40,13,3.076923076923077,3.076923076923077
